tourist_id,guide_id,rating,is_poor_experience,norm_dot_product,language_match,budget_alignment,pace_alignment,predicted_rating,rating_source
T69210,G264,4.2,False,0.7378,1.0,0.712,0.958,5.0,synthetic
T15155,G351,4.06,False,0.548,0.0,0.976,0.969,4.78,synthetic
T38369,G290,3.24,False,0.3642,1.0,0.758,0.838,3.84,synthetic
T77051,G192,4.11,False,0.5304,0.0,0.824,0.716,4.62,synthetic
T63545,G817,2.47,True,0.2873,0.0,0.984,0.879,3.08,synthetic
T25720,G463,2.92,False,0.3255,0.0,0.926,0.939,3.33,synthetic
T63480,G817,4.18,False,0.6486,0.0,0.91,0.772,5.0,synthetic
T87847,G982,4.34,False,0.8341,0.0,0.86,0.822,5.0,synthetic
T28242,G331,3.76,False,0.4155,1.0,0.922,0.975,4.22,synthetic
T62944,G603,3.51,False,0.453,0.0,0.709,0.853,4.12,synthetic
T96266,G515,2.65,False,0.2209,1.0,0.882,0.973,2.94,synthetic
T84341,G100,4.41,False,0.7,0.0,0.844,0.994,5.0,synthetic
T43039,G702,2.69,False,0.2556,0.0,0.888,0.786,2.85,synthetic
T29523,G580,4.33,False,0.6914,0.0,0.725,0.824,5.0,synthetic
T76255,G887,3.97,False,0.5126,0.0,0.882,0.927,4.53,synthetic
T94211,G813,2.29,True,0.2517,0.0,0.872,0.992,2.85,synthetic
T84209,G702,3.19,False,0.3168,1.0,0.976,0.985,3.58,synthetic
T24683,G266,3.07,False,0.3698,0.0,0.879,0.729,3.58,synthetic
T91067,G244,4.4,False,0.7969,0.0,0.865,0.829,5.0,synthetic
T95460,G999,4.34,False,0.7054,0.0,0.927,0.988,5.0,synthetic
T66689,G463,3.24,False,0.355,0.0,0.982,0.989,3.53,synthetic
T87061,G724,3.87,False,0.4824,1.0,0.987,0.88,4.65,synthetic
T98696,G330,3.83,False,0.4289,1.0,0.915,0.993,4.3,synthetic
T53007,G244,2.73,False,0.2676,1.0,0.948,0.975,3.26,synthetic
T14145,G623,4.4,False,0.7209,0.0,0.793,0.912,5.0,synthetic
T78788,G515,2.86,False,0.3373,0.0,0.868,0.727,3.37,synthetic
T58473,G351,4.08,False,0.5181,0.0,0.764,0.94,4.55,synthetic
T95717,G834,3.39,False,0.3678,1.0,0.789,0.91,3.88,synthetic
T77065,G603,4.46,False,0.6011,0.0,0.778,0.796,5.0,synthetic
T77051,G976,4.62,False,0.8452,0.0,0.824,0.704,5.0,synthetic
T23579,G100,3.4,False,0.4181,0.0,0.932,0.958,3.93,synthetic
T88372,G702,4.42,False,0.6958,0.0,0.739,0.895,5.0,synthetic
T92665,G450,3.52,False,0.4356,0.0,0.973,0.842,4.03,synthetic
T49438,G619,4.16,False,0.5557,0.0,0.99,0.982,4.84,synthetic
T62461,G882,3.23,False,0.4082,0.0,0.721,0.922,3.83,synthetic
T61727,G741,4.37,False,0.5223,1.0,0.83,0.896,4.89,synthetic
T98917,G873,2.95,False,0.3092,0.0,0.947,0.772,3.2,synthetic
T95426,G580,4.22,False,0.4967,1.0,0.985,0.967,4.75,synthetic
T75294,G351,4.09,False,0.4964,0.0,0.963,0.961,4.45,synthetic
T63347,G522,4.44,False,0.6406,0.0,0.716,0.892,5.0,synthetic
T17864,G831,4.55,False,0.6809,1.0,1.0,0.902,5.0,synthetic
T44521,G351,4.51,False,0.8975,0.0,0.996,0.832,5.0,synthetic
T80202,G834,4.18,False,0.7074,0.0,0.702,0.92,5.0,synthetic
T56805,G525,3.0,False,0.3039,0.0,0.771,0.984,3.17,synthetic
T80879,G515,3.14,False,0.3004,1.0,0.992,0.975,3.48,synthetic
T65731,G351,4.35,False,0.5654,0.0,0.971,0.944,4.89,synthetic
T66689,G320,3.16,False,0.3675,0.0,0.842,0.927,3.59,synthetic
T46497,G540,2.85,False,0.329,0.0,0.917,0.898,3.34,synthetic
T68543,G882,1.83,True,0.1677,0.0,0.734,0.999,2.28,synthetic
T76736,G331,2.61,False,0.2803,0.0,0.912,0.989,3.04,synthetic
T98917,G434,3.83,False,0.4107,1.0,0.947,0.964,4.19,synthetic
T24068,G114,4.5,False,0.6399,0.0,0.821,0.962,5.0,synthetic
T40735,G330,3.74,False,0.4908,0.0,0.923,0.925,4.4,synthetic
T45884,G636,3.92,False,0.4947,0.0,0.727,0.989,4.4,synthetic
T51779,G320,4.45,False,0.8544,0.0,0.949,0.954,5.0,synthetic
T94896,G100,3.91,False,0.5243,0.0,0.839,0.903,4.6,synthetic
T28051,G603,2.72,False,0.2997,0.0,0.978,0.756,3.14,synthetic
T76736,G985,3.48,False,0.4468,0.0,0.912,0.878,4.1,synthetic
T44465,G540,3.01,False,0.3457,0.0,0.868,0.964,3.45,synthetic
T47649,G114,4.5,False,0.6809,1.0,0.914,0.901,5.0,synthetic
T50043,G976,4.33,False,0.5693,0.0,0.823,0.743,4.87,synthetic
T84341,G320,4.53,False,0.5982,1.0,0.704,0.947,5.0,synthetic
T11368,G987,3.97,False,0.5137,0.0,0.764,0.736,4.5,synthetic
T22203,G369,4.17,False,0.5057,1.0,0.857,0.887,4.78,synthetic
T90847,G114,2.54,False,0.2852,0.0,0.77,0.818,3.03,synthetic
T69516,G244,4.33,False,0.6456,0.0,0.758,0.723,5.0,synthetic
T76255,G351,4.43,False,0.6551,0.0,0.978,0.85,5.0,synthetic
T35381,G982,3.68,False,0.4484,0.0,0.908,0.904,4.12,synthetic
T86019,G602,1.93,True,0.1872,0.0,0.975,0.952,2.44,synthetic
T36549,G834,3.36,False,0.407,0.0,0.724,0.82,3.81,synthetic
T27428,G244,3.55,False,0.4565,0.0,0.94,0.722,4.15,synthetic
T62944,G525,2.54,False,0.2429,0.0,0.709,0.967,2.76,synthetic
T25866,G636,2.96,False,0.3188,1.0,0.824,0.819,3.55,synthetic
T23579,G976,4.27,False,0.553,0.0,0.792,0.782,4.77,synthetic
T56805,G100,2.81,False,0.2825,0.0,0.911,0.985,3.05,synthetic
T59508,G813,3.24,False,0.4056,0.0,0.91,0.738,3.82,synthetic
T84391,G623,4.6,False,0.6221,0.0,0.731,0.897,5.0,synthetic
T12050,G834,3.64,False,0.475,0.0,0.901,0.873,4.29,synthetic
T80305,G264,3.33,False,0.4282,0.0,0.749,0.888,3.96,synthetic
T41114,G702,4.32,False,0.5513,1.0,0.988,0.818,5.0,synthetic
T84545,G619,3.32,False,0.4243,0.0,0.725,0.733,3.92,synthetic
T54128,G987,2.99,False,0.3455,0.0,0.869,0.99,3.46,synthetic
T46208,G434,4.43,False,0.6921,0.0,0.89,0.994,5.0,synthetic
T49085,G463,3.37,False,0.3995,0.0,0.884,0.957,3.8,synthetic
T66010,G430,3.03,False,0.3438,0.0,0.984,0.923,3.45,synthetic
T63011,G450,4.28,False,0.6934,0.0,0.92,0.909,5.0,synthetic
T59688,G450,3.73,False,0.4429,0.0,0.888,0.974,4.09,synthetic
T28051,G120,3.02,False,0.2814,1.0,0.698,0.916,3.3,synthetic
T19071,G882,4.45,False,0.6583,0.0,0.855,0.841,5.0,synthetic
T30287,G525,4.3,False,0.5739,0.0,0.91,0.966,4.94,synthetic
T16000,G457,4.33,False,0.6608,0.0,0.787,0.89,5.0,synthetic
T16000,G351,4.01,False,0.5348,0.0,0.933,0.979,4.69,synthetic
T65923,G320,4.24,False,0.7757,0.0,0.818,0.977,5.0,synthetic
T53007,G463,1.96,True,0.1655,0.0,0.912,0.948,2.29,synthetic
T49017,G430,3.0,False,0.2858,1.0,0.879,0.935,3.36,synthetic
T23579,G525,3.04,False,0.3531,0.0,0.928,0.957,3.51,synthetic
T35892,G976,4.2,False,0.5688,0.0,0.835,0.694,4.86,synthetic
T14190,G741,2.71,False,0.296,0.0,0.998,0.763,3.12,synthetic
T79417,G369,4.46,False,0.6253,0.0,0.924,0.947,5.0,synthetic
T69210,G540,4.29,False,0.6525,1.0,0.992,0.963,5.0,synthetic
T77195,G831,2.93,False,0.3398,0.0,0.871,0.856,3.4,synthetic
T66414,G813,4.33,False,0.5647,0.0,0.765,0.968,4.86,synthetic
T79065,G463,2.94,False,0.3198,0.0,0.918,0.953,3.29,synthetic
T10836,G525,3.74,False,0.4845,0.0,0.8,0.835,4.33,synthetic
T98917,G330,4.53,False,0.6231,0.0,0.913,0.982,5.0,synthetic
T89281,G192,3.74,False,0.4915,0.0,0.979,0.708,4.38,synthetic
T27082,G463,4.26,False,0.5745,1.0,0.854,0.735,5.0,synthetic
T18950,G774,4.38,False,0.6526,0.0,0.734,0.834,5.0,synthetic
T30691,G834,3.31,False,0.4143,0.0,0.994,0.968,3.92,synthetic
T24972,G831,4.48,False,0.6108,1.0,0.899,0.979,5.0,synthetic
T58710,G540,4.22,False,0.5644,0.0,0.902,0.994,4.88,synthetic
T45884,G999,4.18,False,0.5339,0.0,0.727,0.916,4.65,synthetic
T90847,G882,3.89,False,0.4833,0.0,0.77,0.88,4.32,synthetic
T10538,G525,3.7,False,0.4868,0.0,0.852,0.908,4.36,synthetic
T59688,G580,3.67,False,0.4932,0.0,0.888,0.738,4.38,synthetic
T17123,G244,4.3,False,0.4955,1.0,0.854,0.778,4.7,synthetic
T92430,G114,3.78,False,0.5032,0.0,0.838,0.781,4.45,synthetic
T56269,G430,3.75,False,0.491,0.0,0.784,0.955,4.38,synthetic
T46497,G817,3.29,False,0.3701,0.0,0.803,0.984,3.6,synthetic
T92840,G515,3.58,False,0.3843,1.0,0.921,0.766,3.98,synthetic
T44541,G813,3.03,False,0.3573,0.0,0.764,0.927,3.51,synthetic
T21728,G636,4.17,False,0.5555,0.0,0.906,0.899,4.81,synthetic
T68873,G463,3.66,False,0.4747,0.0,0.898,0.796,4.27,synthetic
T68543,G623,2.04,True,0.1776,0.0,0.734,0.876,2.33,synthetic
T51779,G457,4.34,False,0.7707,1.0,0.771,0.859,5.0,synthetic
T29523,G120,4.48,False,0.6442,0.0,0.995,0.965,5.0,synthetic
T91117,G434,4.37,False,0.7232,0.0,0.811,0.988,5.0,synthetic
T65381,G702,4.56,False,0.5901,0.0,0.77,0.733,5.0,synthetic
T87061,G831,4.24,False,0.5869,0.0,0.987,0.971,5.0,synthetic
T77065,G457,3.46,False,0.4452,0.0,0.778,0.948,4.08,synthetic
T79417,G724,4.3,False,0.5724,1.0,0.936,0.862,5.0,synthetic
T36437,G873,3.0,False,0.2987,1.0,0.875,0.916,3.44,synthetic
T95767,G987,2.53,False,0.2323,0.0,0.975,0.851,2.71,synthetic
T67577,G741,2.63,False,0.2496,0.0,0.976,0.968,2.84,synthetic
T21382,G331,3.82,False,0.4586,1.0,0.969,0.981,4.5,synthetic
T37948,G987,3.33,False,0.369,1.0,0.924,0.868,3.9,synthetic
T25760,G580,3.05,False,0.364,0.0,0.95,0.819,3.56,synthetic
T46087,G982,3.51,False,0.4164,0.0,0.776,0.897,3.89,synthetic
T89084,G515,1.76,True,0.1322,0.0,0.832,0.897,2.05,synthetic
T53007,G100,2.61,False,0.2574,0.0,0.912,0.911,2.88,synthetic
T19539,G320,4.0,False,0.489,0.0,0.897,0.967,4.39,synthetic
T57400,G976,3.4,False,0.467,0.0,0.906,0.783,4.22,synthetic
T87061,G100,3.77,False,0.4519,0.0,0.873,0.998,4.15,synthetic
T43039,G873,2.09,True,0.1898,0.0,0.888,0.929,2.44,synthetic
T82120,G330,3.88,False,0.5045,0.0,0.955,0.891,4.49,synthetic
T98389,G774,4.37,False,0.5981,0.0,0.987,0.827,5.0,synthetic
T59310,G580,3.85,False,0.5051,0.0,0.991,0.965,4.51,synthetic
T49438,G887,3.26,False,0.3544,1.0,0.85,0.816,3.79,synthetic
T12050,G430,4.39,False,0.5735,0.0,0.819,0.989,4.93,synthetic
T70443,G540,3.76,False,0.4579,0.0,0.732,0.883,4.15,synthetic
T65028,G636,3.41,False,0.3908,0.0,0.962,0.852,3.74,synthetic
T10836,G351,3.66,False,0.4378,0.0,0.92,0.888,4.05,synthetic
T27047,G331,3.4,False,0.3826,0.0,0.833,0.803,3.67,synthetic
T15943,G450,4.44,False,0.6297,1.0,0.998,0.93,5.0,synthetic
T35272,G817,4.59,False,0.7435,0.0,0.872,0.785,5.0,synthetic
T28526,G774,3.69,False,0.4177,1.0,0.943,0.879,4.22,synthetic
T27082,G369,3.71,False,0.4086,1.0,0.994,0.978,4.18,synthetic
T14392,G629,3.14,False,0.3366,0.0,0.774,0.99,3.38,synthetic
T70036,G623,2.0,True,0.1456,0.0,0.957,0.983,2.17,synthetic
T81449,G522,3.96,False,0.4853,0.0,0.903,0.956,4.36,synthetic
T94819,G192,3.41,False,0.4013,0.0,0.761,0.881,3.79,synthetic
T26199,G515,3.12,False,0.399,0.0,0.98,0.759,3.78,synthetic
T76608,G834,4.45,False,0.6573,1.0,0.864,0.826,5.0,synthetic
T98917,G636,2.72,False,0.2907,0.0,0.947,0.995,3.11,synthetic
T28201,G603,3.09,False,0.2808,1.0,0.779,0.799,3.3,synthetic
T46583,G623,4.53,False,0.7301,0.0,0.695,0.727,5.0,synthetic
T89084,G813,2.36,True,0.2209,0.0,0.972,0.832,2.64,synthetic
T94819,G636,4.21,False,0.5379,0.0,0.959,0.91,4.71,synthetic
T72701,G450,4.41,False,0.5928,0.0,0.681,0.902,5.0,synthetic
T11669,G463,3.56,False,0.4231,0.0,0.844,0.802,3.93,synthetic
T24806,G602,3.88,False,0.49,0.0,0.955,0.888,4.39,synthetic
T41133,G434,3.04,False,0.3382,0.0,0.796,0.988,3.4,synthetic
T69516,G602,4.1,False,0.51,0.0,0.898,0.747,4.5,synthetic
T98917,G522,4.6,False,0.6231,0.0,0.947,0.917,5.0,synthetic
T66742,G834,4.05,False,0.4891,1.0,0.97,0.985,4.7,synthetic
T83574,G580,2.98,False,0.2996,1.0,0.813,0.733,3.42,synthetic
T11105,G120,4.13,False,0.5373,0.0,0.931,0.937,4.7,synthetic
T84391,G813,4.42,False,0.6364,0.0,0.989,0.799,5.0,synthetic
T49438,G602,4.31,False,0.6536,0.0,0.85,0.75,5.0,synthetic
T15130,G463,4.33,False,0.7915,0.0,0.913,0.724,5.0,synthetic
T83864,G320,3.26,False,0.3277,1.0,0.997,0.829,3.63,synthetic
T33306,G887,3.6,False,0.4271,0.0,0.946,0.799,3.97,synthetic
T73470,G813,3.3,False,0.3482,1.0,0.946,0.983,3.78,synthetic
T57774,G320,4.44,False,0.5103,1.0,0.884,0.995,4.83,synthetic
T30691,G525,4.02,False,0.4898,0.0,0.726,0.98,4.37,synthetic
T57826,G623,4.14,False,0.5023,1.0,0.758,0.93,4.75,synthetic
T38369,G244,4.57,False,0.6841,1.0,0.758,0.966,5.0,synthetic
T34914,G320,4.47,False,0.8197,0.0,0.996,0.857,5.0,synthetic
T58349,G351,4.38,False,0.6268,1.0,0.779,0.855,5.0,synthetic
T11105,G649,2.2,True,0.1485,1.0,0.929,0.954,2.48,synthetic
T41114,G774,4.48,False,0.6669,1.0,0.732,0.824,5.0,synthetic
T55069,G636,3.24,False,0.3735,0.0,0.773,0.979,3.62,synthetic
T96479,G100,3.63,False,0.4176,1.0,0.832,0.929,4.21,synthetic
T28051,G999,2.78,False,0.2973,0.0,0.978,0.897,3.14,synthetic
T44541,G463,2.78,False,0.3164,0.0,0.956,0.776,3.25,synthetic
T74789,G320,4.38,False,0.635,1.0,0.801,0.969,5.0,synthetic
T82235,G450,4.4,False,0.633,1.0,0.872,0.855,5.0,synthetic
T87847,G264,4.35,False,0.712,0.0,0.86,0.86,5.0,synthetic
T76608,G244,3.41,False,0.4301,0.0,0.856,0.764,3.97,synthetic
T27428,G100,3.68,False,0.4646,0.0,0.92,0.836,4.22,synthetic
T76736,G463,3.43,False,0.4255,0.0,0.948,0.859,3.97,synthetic
T20118,G987,3.95,False,0.4699,0.0,0.71,0.914,4.23,synthetic
T55069,G434,2.8,False,0.3158,0.0,0.773,0.949,3.24,synthetic
T57774,G264,3.7,False,0.4376,0.0,0.836,0.992,4.05,synthetic
T44521,G450,4.21,False,0.7398,0.0,0.724,0.984,5.0,synthetic
T74517,G985,4.31,False,0.7068,1.0,0.964,0.945,5.0,synthetic
T94211,G525,3.54,False,0.3922,0.0,0.872,0.896,3.75,synthetic
T97632,G834,2.4,True,0.2523,0.0,0.764,0.997,2.83,synthetic
T62965,G463,2.54,False,0.2126,1.0,0.972,0.968,2.9,synthetic
T50441,G636,2.33,True,0.2325,0.0,0.872,0.773,2.69,synthetic
T73858,G515,4.5,False,0.7226,1.0,0.95,0.86,5.0,synthetic
T22934,G649,2.37,True,0.2142,0.0,0.822,0.958,2.59,synthetic
T73858,G463,4.1,False,0.5436,0.0,0.95,0.958,4.75,synthetic
T19071,G887,4.38,False,0.7331,0.0,0.995,0.919,5.0,synthetic
T82105,G831,3.54,False,0.4391,0.0,0.877,0.974,4.06,synthetic
T96266,G330,2.75,False,0.2156,1.0,0.882,0.759,2.88,synthetic
T25095,G813,4.42,False,0.8138,0.0,0.727,0.945,5.0,synthetic
T50043,G430,4.43,False,0.6137,0.0,0.897,0.856,5.0,synthetic
T27082,G463,4.48,False,0.5745,1.0,0.854,0.735,5.0,synthetic
T20118,G290,1.84,True,0.1644,0.0,0.71,0.911,2.25,synthetic
T61000,G290,4.01,False,0.4612,1.0,0.979,0.999,4.52,synthetic
T59424,G192,3.09,False,0.3505,0.0,0.839,0.782,3.46,synthetic
T95460,G463,4.4,False,0.688,0.0,0.793,0.869,5.0,synthetic
T98488,G430,3.66,False,0.4647,0.0,0.864,0.834,4.21,synthetic
T98696,G985,2.84,False,0.3453,0.0,0.945,0.956,3.46,synthetic
T91117,G522,4.45,False,0.6064,0.0,0.811,0.964,5.0,synthetic
T97983,G629,2.22,True,0.1815,1.0,0.688,0.99,2.66,synthetic
T27428,G290,3.39,False,0.4113,0.0,0.94,0.918,3.88,synthetic
T25760,G120,2.74,False,0.3134,0.0,0.77,0.959,3.23,synthetic
T75987,G522,4.53,False,0.5831,1.0,0.829,0.947,5.0,synthetic
T75404,G120,4.17,False,0.5292,0.0,0.992,0.963,4.66,synthetic
T80452,G430,4.37,False,0.622,0.0,0.983,0.835,5.0,synthetic
T74789,G331,4.67,False,0.571,0.0,0.801,0.984,4.91,synthetic
T10861,G603,3.77,False,0.4452,0.0,0.824,0.88,4.08,synthetic
T35381,G434,4.33,False,0.6018,1.0,0.908,0.808,5.0,synthetic
T86019,G887,3.12,False,0.3461,0.0,0.975,0.982,3.47,synthetic
T60444,G457,4.4,False,0.9565,0.0,0.714,0.995,5.0,synthetic
T58473,G522,3.72,False,0.4773,0.0,0.956,0.961,4.32,synthetic
T60324,G602,3.24,False,0.3564,0.0,0.869,0.96,3.52,synthetic
T28242,G999,3.63,False,0.4789,0.0,0.798,0.909,4.3,synthetic
T35369,G813,4.21,False,0.5081,1.0,0.785,0.846,4.78,synthetic
T56884,G602,4.42,False,0.6199,0.0,0.875,0.972,5.0,synthetic
T80879,G580,3.46,False,0.4039,1.0,0.868,0.786,4.11,synthetic
T63011,G331,4.51,False,0.7376,0.0,0.92,0.886,5.0,synthetic
T45884,G430,4.37,False,0.7309,0.0,0.727,0.879,5.0,synthetic
T24972,G741,4.42,False,0.5687,1.0,0.821,0.901,5.0,synthetic
T50441,G985,3.14,False,0.3817,0.0,0.848,0.801,3.66,synthetic
T24806,G999,3.46,False,0.4037,0.0,0.905,0.994,3.84,synthetic
T69210,G976,4.31,False,0.8318,1.0,0.992,0.824,5.0,synthetic
T35892,G629,3.88,False,0.5066,0.0,0.885,0.873,4.49,synthetic
T61727,G540,4.33,False,0.534,0.0,0.83,0.957,4.67,synthetic
T29315,G976,3.37,False,0.3733,1.0,0.98,0.882,3.94,synthetic
T73470,G817,4.11,False,0.5148,0.0,0.946,0.999,4.57,synthetic
T98254,G450,4.65,False,0.7441,1.0,0.997,0.906,5.0,synthetic
T50441,G463,2.47,True,0.248,0.0,0.988,0.782,2.81,synthetic
T15943,G834,4.25,False,0.6343,1.0,0.722,0.876,5.0,synthetic
T65572,G331,3.65,False,0.4644,0.0,0.974,0.95,4.24,synthetic
T34149,G813,4.32,False,0.6613,1.0,0.966,0.805,5.0,synthetic
T29523,G813,4.12,False,0.5691,0.0,0.725,0.793,4.87,synthetic
T28526,G619,2.36,True,0.1749,1.0,0.943,0.842,2.64,synthetic
T98389,G120,4.19,False,0.5826,0.0,0.987,0.974,5.0,synthetic
T60444,G774,4.27,False,0.8808,0.0,0.994,0.762,5.0,synthetic
T25570,G540,4.32,False,0.6106,0.0,0.966,0.868,5.0,synthetic
T51779,G330,4.27,False,0.7985,1.0,0.911,0.93,5.0,synthetic
T23579,G463,2.2,True,0.1788,0.0,0.932,0.995,2.38,synthetic
T41816,G724,4.35,False,0.7283,1.0,0.741,0.961,5.0,synthetic
T68833,G649,2.4,True,0.2354,0.0,0.971,0.892,2.74,synthetic
T43913,G522,4.31,False,0.614,0.0,0.964,0.971,5.0,synthetic
T62965,G264,2.72,False,0.3063,0.0,0.748,0.906,3.17,synthetic
T94819,G540,4.26,False,0.5728,0.0,0.761,0.994,4.92,synthetic
T15224,G882,4.46,False,0.6067,0.0,0.709,0.969,5.0,synthetic
T62944,G982,3.43,False,0.4162,0.0,0.709,0.953,3.89,synthetic
T94245,G434,2.25,True,0.1949,0.0,0.93,0.864,2.47,synthetic
T29527,G629,2.37,True,0.2276,1.0,0.8,0.89,2.97,synthetic
T40493,G100,2.42,True,0.2218,0.0,0.894,0.986,2.65,synthetic
T24996,G192,3.23,False,0.385,0.0,0.716,0.894,3.68,synthetic
T25814,G100,3.98,False,0.515,0.0,0.91,0.953,4.56,synthetic
T94819,G290,3.57,False,0.4729,0.0,0.959,0.963,4.29,synthetic
T98254,G114,4.35,False,0.5797,1.0,0.723,0.932,5.0,synthetic
T89084,G817,3.49,False,0.4236,0.0,0.972,0.879,3.96,synthetic
T76608,G649,3.36,False,0.3589,0.0,0.996,0.941,3.55,synthetic
T69020,G982,4.37,False,0.8182,0.0,0.852,0.977,5.0,synthetic
T88636,G629,2.54,False,0.1845,1.0,0.853,0.865,2.69,synthetic
T61181,G741,3.86,False,0.5176,0.0,0.694,0.977,4.55,synthetic
T72068,G887,3.07,False,0.3819,0.0,0.999,0.822,3.69,synthetic
T17123,G120,3.28,False,0.3933,0.0,0.866,0.938,3.76,synthetic
T83864,G636,2.56,False,0.2541,0.0,0.723,0.921,2.83,synthetic
T61000,G369,4.2,False,0.6835,1.0,0.839,0.844,5.0,synthetic
T34914,G774,4.29,False,0.6266,0.0,0.996,0.995,5.0,synthetic
T65572,G882,4.31,False,0.565,0.0,0.974,0.911,4.89,synthetic
T80452,G649,3.28,False,0.3836,0.0,0.843,0.836,3.68,synthetic
T22696,G882,2.48,True,0.2512,0.0,0.724,0.996,2.82,synthetic
T56018,G351,4.31,False,0.5578,0.0,0.828,0.923,4.82,synthetic
T94819,G623,4.26,False,0.5883,0.0,0.761,0.867,5.0,synthetic
T45884,G463,4.57,False,0.6706,0.0,0.867,0.98,5.0,synthetic
T22838,G619,1.67,True,0.1239,0.0,0.778,0.941,2.0,synthetic
